population,treatment,replicate,tag,date,doy,l1_total_length,l1_green_length,l2_total_length,l2_green_length,l3_total_length,l3_green_length,l4_total_length,l4_green_length,l5_total_length,l5_green_length,l6_total_length,l6_green_length,tiller_total_green_length,avg_green_leaf_length,tiller_pct_green
CF,Wet,6,CF 2-6,9/11/17,254,11.5,0,24,0,25,6,18,9,8,0,NA,NA,15,3,0.17
CF,Dry,1,CF 1-1,7/15/17,196,14.5,6.5,16.5,15.5,NA,NA,NA,NA,NA,NA,NA,NA,22,11,0.71
CF,Dry,1,CF 1-1,7/26/17,207,14.5,5,18,9,NA,NA,NA,NA,NA,NA,NA,NA,14,7,0.43
CF,Dry,1,CF 1-1,8/4/17,216,14.5,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Dry,1,CF 1-1,8/12/17,224,14.5,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Dry,1,CF 1-1,8/20/17,232,14.5,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Dry,1,CF 1-1,9/2/17,245,14.5,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Dry,1,CF 1-1,9/11/17,254,14.5,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Dry,2,CF 1-2,7/15/17,196,16.5,14.5,15.5,13.5,6,6,NA,NA,NA,NA,NA,NA,34,11.33,0.89
CF,Dry,2,CF 1-2,7/26/17,207,18,13,17,14.5,7,7,NA,NA,NA,NA,NA,NA,34.5,11.5,0.82
CF,Dry,2,CF 1-2,8/4/17,216,18,11.5,19.5,16,6.5,6.5,NA,NA,NA,NA,NA,NA,34,11.33,0.77
CF,Dry,2,CF 1-2,8/12/17,224,18,10,20,16,7,7,NA,NA,NA,NA,NA,NA,33,11,0.73
CF,Dry,2,CF 1-2,8/20/17,232,18,9,20,15.5,7,7,NA,NA,NA,NA,NA,NA,31.5,10.5,0.7
CF,Dry,2,CF 1-2,9/2/17,245,18,5,20,13,7,6.5,NA,NA,NA,NA,NA,NA,24.5,8.17,0.54
CF,Dry,2,CF 1-2,9/11/17,254,18,0,20,0,7,0,NA,NA,NA,NA,NA,NA,0,0,0
CF,Dry,4,CF 1-4,7/15/17,196,15,14,11,3,5.5,5.5,0.5,0.5,NA,NA,NA,NA,23,5.75,0.72
CF,Dry,4,CF 1-4,7/26/17,207,15,9,11,3,7.5,4.5,2.5,2.5,NA,NA,NA,NA,19,4.75,0.53
CF,Dry,4,CF 1-4,8/4/17,216,15,9,11,3,7.5,4.5,5.5,5.5,NA,NA,NA,NA,22,5.5,0.56
CF,Dry,4,CF 1-4,8/12/17,224,15,9,11,3,8,5,3,3,NA,NA,NA,NA,20,5,0.54
CF,Dry,4,CF 1-4,8/20/17,232,15,9,11,3,8,5,3,3,7,7,NA,NA,27,5.4,0.61
CF,Dry,4,CF 1-4,9/2/17,245,15,8,11,1.5,8,1.5,3,3,7,0,NA,NA,14,2.8,0.32
CF,Dry,4,CF 1-4,9/11/17,254,15,0,11,1,8,5.5,3.5,3.5,7,0,NA,NA,10,2,0.22
CF,Dry,5,CF 1-5,7/15/17,196,21.5,21,20.5,20.5,5,5,NA,NA,NA,NA,NA,NA,46.5,15.5,0.99
CF,Dry,5,CF 1-5,7/26/17,207,21.5,21,20.5,20,5,5,NA,NA,NA,NA,NA,NA,46,15.33,0.98
CF,Dry,5,CF 1-5,8/4/17,216,21.5,21,20.5,20,5,5,0,0,NA,NA,NA,NA,46,11.5,0.98
CF,Dry,5,CF 1-5,8/12/17,224,21.5,20.5,20.5,20,4,4,0,0,NA,NA,NA,NA,44.5,11.13,0.97
CF,Dry,5,CF 1-5,8/20/17,232,21.5,20.5,20.5,19.5,4,4,0,0,NA,NA,NA,NA,44,11,0.96
CF,Dry,5,CF 1-5,9/2/17,245,21.5,18.5,20.5,19.5,4.5,4.5,0,NA,NA,NA,NA,NA,42.5,14.17,0.91
CF,Dry,5,CF 1-5,9/11/17,254,21.5,2,20.5,0,5,3,0,0,NA,NA,NA,NA,5,1.25,0.11
CF,Dry,6,CF 1-6,7/15/17,196,16,13.5,14.5,11,19.5,19,10.5,10.5,NA,NA,NA,NA,54,13.5,0.89
CF,Dry,6,CF 1-6,7/26/17,207,16,3,15,10.5,19.5,19,12.5,12.5,NA,NA,NA,NA,45,11.25,0.71
CF,Dry,6,CF 1-6,8/4/17,216,16,2.5,15,11,19.5,19,8.5,8.5,4,4,NA,NA,45,9,0.71
CF,Dry,6,CF 1-6,8/12/17,224,16,2.5,15,13,19,18,10,10,6,6,NA,NA,49.5,9.9,0.75
CF,Dry,6,CF 1-6,8/20/17,232,16,0,15,10.5,19,17.5,12.5,12.5,11,11,NA,NA,51.5,10.3,0.7
CF,Dry,6,CF 1-6,9/2/17,245,16,8.5,20,16,19,15,12,12,6.5,6.5,NA,NA,58,11.6,0.79
CF,Dry,6,CF 1-6,9/11/17,254,20,0,15,0,13,3,12,7,6.5,4,NA,NA,14,2.8,0.21
CF,Deep,1,CF 3-1,7/15/17,196,25,14,20,20,NA,NA,NA,NA,NA,NA,NA,NA,34,17,0.76
CF,Deep,1,CF 3-1,7/26/17,207,25,5.5,20,13,NA,NA,NA,NA,NA,NA,NA,NA,18.5,9.25,0.41
CF,Deep,1,CF 3-1,8/4/17,216,25,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Deep,1,CF 3-1,8/12/17,224,25,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Deep,1,CF 3-1,8/20/17,232,25,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Deep,1,CF 3-1,9/2/17,245,25,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Deep,1,CF 3-1,9/11/17,254,25,0,20,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Deep,2,CF 3-2,7/15/17,196,15.5,5.5,18,13,NA,NA,NA,NA,NA,NA,NA,NA,18.5,9.25,0.55
CF,Deep,2,CF 3-2,7/26/17,207,15.5,0,18,7,NA,NA,NA,NA,NA,NA,NA,NA,7,3.5,0.21
CF,Deep,2,CF 3-2,8/4/17,216,15.5,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Deep,2,CF 3-2,8/12/17,224,15.5,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Deep,2,CF 3-2,8/20/17,232,15.5,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Deep,2,CF 3-2,9/2/17,245,15.5,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Deep,2,CF 3-2,9/11/17,254,15.5,0,18,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
CF,Deep,3,CF 3-3,7/15/17,196,13.5,13.5,23.5,23.5,10,10,2,2,0,0,NA,NA,49,9.8,1
CF,Deep,3,CF 3-3,7/26/17,207,13.5,13.5,24.5,24,10,10,2,2,0,0,NA,NA,49.5,9.9,0.99
CF,Deep,3,CF 3-3,8/4/17,216,13.5,13.5,25,22.5,10.5,10.5,13,13,6.5,6.5,NA,NA,66,13.2,0.96
CF,Deep,3,CF 3-3,8/12/17,224,13.5,13.5,25,24,14,14,13,13,10,10,NA,NA,74.5,14.9,0.99
CF,Deep,3,CF 3-3,8/20/17,232,13.5,13,25,24,14,14,14,14,10,10,NA,NA,75,15,0.98
CF,Deep,3,CF 3-3,9/2/17,245,13.5,13,25,23,14,14,14,14,10,10,NA,NA,74,14.8,0.97
CF,Deep,3,CF 3-3,9/11/17,254,13.5,0,25,10,14,8,14,2,10,10,NA,NA,30,6,0.39
CF,Deep,4,CF 3-4,7/15/17,196,16,12,22.5,22.5,5,5,NA,NA,NA,NA,NA,NA,39.5,13.17,0.91
CF,Deep,4,CF 3-4,7/26/17,207,16,3.5,22.5,22.5,7,7,NA,NA,NA,NA,NA,NA,33,11,0.73
CF,Deep,4,CF 3-4,8/4/17,216,16,3,22.5,22.5,9,9,4,4,NA,NA,NA,NA,38.5,9.63,0.75
CF,Deep,4,CF 3-4,8/12/17,224,16,1.5,22.5,18,9,9,6,6,NA,NA,NA,NA,34.5,8.63,0.64
CF,Deep,4,CF 3-4,8/20/17,232,16,0,22.5,18,9,9,6,6,NA,NA,NA,NA,33,8.25,0.62
CF,Deep,4,CF 3-4,9/2/17,245,16,0,22.5,18,9,9,6.5,6.5,NA,NA,NA,NA,33.5,8.38,0.62
CF,Deep,4,CF 3-4,9/11/17,254,16,0,22.5,0,9,5,6.5,4.5,NA,NA,NA,NA,9.5,2.38,0.18
CF,Deep,5,CF 3-5,7/15/17,196,13,9,21,21,10,10,NA,NA,NA,NA,NA,NA,40,13.33,0.91
CF,Deep,5,CF 3-5,7/26/17,207,13,9,21,20.5,13,13,4,4,NA,NA,NA,NA,46.5,11.63,0.91
CF,Deep,5,CF 3-5,8/4/17,216,13,8.5,21,20,15,15,15,15,NA,NA,NA,NA,58.5,14.63,0.91
CF,Deep,5,CF 3-5,8/12/17,224,13,7,20,18,20,20,15,15,6,6,NA,NA,66,13.2,0.89
CF,Deep,5,CF 3-5,8/20/17,232,13,7,20,18,20,20,15,14.5,8,8,NA,NA,67.5,13.5,0.89
CF,Deep,5,CF 3-5,9/2/17,245,13,7,20,18,20,20,15,14.5,9,9,NA,NA,68.5,13.7,0.89
CF,Deep,5,CF 3-5,9/11/17,254,13,0,20,3.5,20,20,15,4.5,9,9,NA,NA,37,7.4,0.48
