population,treatment,replicate,tag,date,doy,l1_total_length,l1_green_length,l2_total_length,l2_green_length,l3_total_length,l3_green_length,l4_total_length,l4_green_length,l5_total_length,l5_green_length,l6_total_length,l6_green_length,tiller_total_green_length,avg_green_leaf_length,tiller_pct_green
SG,Deep,5,SG 3-5,8/4/17,216,8,2,12,9,11,11,10,10,3,3,NA,NA,35,7,0.8
SG,Deep,5,SG 3-5,8/12/17,224,8,1.5,12,9,11,11,10,10,3,3,NA,NA,34.5,6.9,0.78
SG,Deep,5,SG 3-5,8/20/17,232,8,1,12,9,11,11,10,10,3,3,NA,NA,34,6.8,0.77
SG,Deep,5,SG 3-5,9/2/17,245,8,1,12,6.5,11,11,10,10,3,3,NA,NA,31.5,6.3,0.72
SG,Deep,5,SG 3-5,9/11/17,254,8,0,12,0,11,7,10,2,3,3,NA,NA,12,2.4,0.27
SG,Deep,6,SG 3-6,7/15/17,196,11.5,10.5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,20.5,10.25,0.95
SG,Deep,6,SG 3-6,7/26/17,207,11.5,6,11.5,6,3,3,NA,NA,NA,NA,NA,NA,15,5,0.58
SG,Deep,6,SG 3-6,8/4/17,216,11.5,6,11.5,4,5,5,NA,NA,NA,NA,NA,NA,15,5,0.54
SG,Deep,6,SG 3-6,8/12/17,224,11.5,6,11.5,3.5,8,8,3,3,NA,NA,NA,NA,20.5,5.13,0.6
SG,Deep,6,SG 3-6,8/20/17,232,11.5,6,11.5,3.5,8,8,3,3,NA,NA,NA,NA,20.5,5.13,0.6
SG,Deep,6,SG 3-6,9/2/17,245,12,6,11.5,0,8,8,4,4,NA,NA,NA,NA,18,4.5,0.51
SG,Deep,6,SG 3-6,9/11/17,254,12,0,11.5,0,8,4,4,4,NA,NA,NA,NA,8,2,0.23
TL,Wet,1,TL 2-1,7/15/17,196,11,5,13,13,6,6,NA,NA,NA,NA,NA,NA,24,8,0.8
TL,Wet,1,TL 2-1,7/26/17,207,11,5,13,13,6,6,2,2,NA,NA,NA,NA,26,6.5,0.81
TL,Wet,1,TL 2-1,8/4/17,216,11,5,13,13,6,6,4,4,NA,NA,NA,NA,28,7,0.82
TL,Wet,1,TL 2-1,8/12/17,224,11,5,13,13,6,6,4,4,NA,NA,NA,NA,28,7,0.82
TL,Wet,1,TL 2-1,8/20/17,232,11,5,13,11,6,6,4,4,NA,NA,NA,NA,26,6.5,0.76
TL,Wet,1,TL 2-1,9/2/17,245,11,0,13,1,6,4.5,4,4,1.5,1.5,NA,NA,11,2.2,0.31
TL,Wet,1,TL 2-1,9/11/17,254,11,0,13,0,6,2,4,2,2,2,NA,NA,6,1.2,0.17
TL,Wet,2,TL 2-2,7/15/17,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL,Wet,2,TL 2-2,7/26/17,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL,Wet,2,TL 2-2,8/4/17,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL,Wet,2,TL 2-2,8/12/17,224,10,9,6.5,6.5,6.5,6.5,NA,NA,NA,NA,NA,NA,22,7.33,0.96
TL,Wet,2,TL 2-2,8/20/17,232,10,8.5,6.5,6.5,6.5,6.5,NA,NA,NA,NA,NA,NA,21.5,7.17,0.93
TL,Wet,2,TL 2-2,9/2/17,245,10,1.5,6.5,6.5,6.5,6.5,3,3,NA,NA,NA,NA,17.5,4.38,0.67
TL,Wet,2,TL 2-2,9/11/17,254,10,0,6.5,1,6.5,2.5,3,3,NA,NA,NA,NA,6.5,1.63,0.25
TL,Wet,3,TL 2-3,7/15/17,196,7.5,1,8.5,7.5,11,11,NA,NA,NA,NA,NA,NA,19.5,6.5,0.72
TL,Wet,3,TL 2-3,7/26/17,207,8.5,6.5,10.5,9.5,NA,NA,NA,NA,NA,NA,NA,NA,16,8,0.84
TL,Wet,3,TL 2-3,8/4/17,216,7.5,5,10,7.5,NA,NA,NA,NA,NA,NA,NA,NA,12.5,6.25,0.71
TL,Wet,3,TL 2-3,8/12/17,224,8,3,10,5,NA,NA,NA,NA,NA,NA,NA,NA,8,4,0.44
TL,Wet,3,TL 2-3,8/20/17,232,7,0,10,4,8,2,NA,NA,NA,NA,NA,NA,6,2,0.24
TL,Wet,3,TL 2-3,9/2/17,245,8.5,0,10.5,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
TL,Wet,3,TL 2-3,9/11/17,254,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
TL,Wet,4,TL 2-4,7/15/17,196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL,Wet,4,TL 2-4,7/26/17,207,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL,Wet,4,TL 2-4,8/4/17,216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL,Wet,4,TL 2-4,8/12/17,224,12,3,13.5,13.5,12.5,12.5,8.5,8.5,NA,NA,NA,NA,37.5,9.38,0.81
TL,Wet,4,TL 2-4,8/20/17,232,12,3,13.5,13.5,12.5,12.5,8.5,8.5,NA,NA,NA,NA,37.5,9.38,0.81
TL,Wet,4,TL 2-4,9/2/17,245,12,0,13.5,13,12.5,5.5,8.5,8.5,NA,NA,NA,NA,27,6.75,0.58
TL,Wet,4,TL 2-4,9/11/17,254,12,0,13.5,0,12.5,0,8.5,0,NA,NA,NA,NA,0,0,0
TL,Wet,5,TL 2-5,7/15/17,196,13,7.5,16.5,16.5,14.5,14.5,3,3,NA,NA,NA,NA,41.5,10.38,0.88
TL,Wet,5,TL 2-5,7/26/17,207,13,7.5,16.5,16.5,14.5,14.5,6.5,6.5,1.5,1.5,NA,NA,46.5,9.3,0.89
TL,Wet,5,TL 2-5,8/4/17,216,13,7.5,16.5,16.5,14.5,14.5,9,9,3,3,NA,NA,50.5,10.1,0.9
TL,Wet,5,TL 2-5,8/12/17,224,13,7.5,16.5,16.5,14.5,14.5,9,9,7.5,7.5,NA,NA,55,11,0.91
TL,Wet,5,TL 2-5,8/20/17,232,13,5,16.5,15.5,14.5,14.5,9.5,9.5,7.5,7.5,1.5,1.5,53.5,8.92,0.86
TL,Wet,5,TL 2-5,9/2/17,245,13,0.5,16.5,13,14.5,11.5,9.5,9.5,8,8,1.5,1.5,44,7.33,0.7
TL,Wet,5,TL 2-5,9/11/17,254,13,0,16.5,0,14.5,3,9.5,4,7.5,0,1.5,1.5,8.5,1.42,0.14
TL,Wet,6,TL 2-6,7/15/17,196,11.5,10,14,14,3.5,0.5,NA,NA,NA,NA,NA,NA,24.5,8.17,0.84
TL,Wet,6,TL 2-6,7/26/17,207,11.5,10,14,13.5,8,8,4,4,NA,NA,NA,NA,35.5,8.88,0.95
TL,Wet,6,TL 2-6,8/4/17,216,11.5,10,14,13.5,9.5,9.5,8.5,8.5,NA,NA,NA,NA,41.5,10.38,0.95
TL,Wet,6,TL 2-6,8/12/17,224,11.5,10,14,13.5,11,11,9,9,NA,NA,NA,NA,43.5,10.88,0.96
TL,Wet,6,TL 2-6,8/20/17,232,11.5,9.5,14,13.5,12,12,9.5,9.5,NA,NA,NA,NA,44.5,11.13,0.95
TL,Wet,6,TL 2-6,9/2/17,245,11.5,1,14,10,12.5,12.5,10,10,NA,NA,NA,NA,33.5,8.38,0.7
TL,Wet,6,TL 2-6,9/11/17,254,11.5,0,14,2,13,2,10,6,2,2,NA,NA,12,2.4,0.24
TL,Dry,1,TL 1-1,7/15/17,196,14,4,10,10,11,11,NA,NA,NA,NA,NA,NA,25,8.33,0.71
TL,Dry,1,TL 1-1,7/26/17,207,14,4,10,10,11,11,5,5,NA,NA,NA,NA,30,7.5,0.75
TL,Dry,1,TL 1-1,8/4/17,216,14,4,10,10,11,11,8.5,8.5,3,3,NA,NA,36.5,7.3,0.78
TL,Dry,1,TL 1-1,8/12/17,224,14,4,10,9.5,11,11,9,9,5.5,5.5,NA,NA,39,7.8,0.79
TL,Dry,1,TL 1-1,8/20/17,232,14,3.5,10,9.5,11,11,9,9,6,6,NA,NA,39,7.8,0.78
TL,Dry,1,TL 1-1,9/2/17,245,14,0,10,8.5,11,10.5,9.5,9.5,6.5,6.5,NA,NA,35,7,0.69
TL,Dry,1,TL 1-1,9/11/17,254,14,0,10,0,11,5.5,9,2,6.5,0,NA,NA,7.5,1.5,0.15
TL,Dry,2,TL 1-2,7/15/17,196,12,5.5,9.5,7,NA,NA,NA,NA,NA,NA,NA,NA,12.5,6.25,0.58
TL,Dry,2,TL 1-2,7/26/17,207,12,2.5,9.5,5.5,NA,NA,NA,NA,NA,NA,NA,NA,8,4,0.37
TL,Dry,2,TL 1-2,8/4/17,216,12,2,10,6,2,2,1,1,NA,NA,NA,NA,11,2.75,0.44
TL,Dry,2,TL 1-2,8/12/17,224,12,2,10,6,2.5,2.5,NA,NA,NA,NA,NA,NA,10.5,3.5,0.43
TL,Dry,2,TL 1-2,8/20/17,232,12,2,10,6,2.5,2.5,NA,NA,NA,NA,NA,NA,10.5,3.5,0.43
TL,Dry,2,TL 1-2,9/2/17,245,12,0,10,5.5,3,3,2,2,NA,NA,NA,NA,10.5,2.63,0.39
TL,Dry,2,TL 1-2,9/11/17,254,12,0,10,2,3,3,2,2,NA,NA,NA,NA,7,1.75,0.26
TL,Dry,3,TL 1-3,7/15/17,196,10,10,4,4,NA,NA,NA,NA,NA,NA,NA,NA,14,7,1
TL,Dry,3,TL 1-3,7/26/17,207,10,10,5,5,2.5,2.5,NA,NA,NA,NA,NA,NA,17.5,5.83,1
TL,Dry,3,TL 1-3,8/4/17,216,10,10,5,5,4,4,1,1,NA,NA,NA,NA,20,5,1
TL,Dry,3,TL 1-3,8/12/17,224,10,10,6,6,5,5,2,2,NA,NA,NA,NA,23,5.75,1
TL,Dry,3,TL 1-3,8/20/17,232,10,10,6,6,5,5,2,2,NA,NA,NA,NA,23,5.75,1
TL,Dry,3,TL 1-3,9/2/17,245,10,2.5,6,5.5,5,5,2,2,NA,NA,NA,NA,15,3.75,0.65
TL,Dry,3,TL 1-3,9/11/17,254,10,2,6,4,5,4,2,2,NA,NA,NA,NA,12,3,0.52
TL,Dry,4,TL 1-4,7/15/17,196,15,2,21.5,20,22,22,NA,NA,NA,NA,NA,NA,44,14.67,0.75
TL,Dry,4,TL 1-4,7/26/17,207,15,2,24,22.5,23.5,20,NA,NA,NA,NA,NA,NA,44.5,14.83,0.71
TL,Dry,4,TL 1-4,8/4/17,216,15,2,24,20,23.5,16.5,5,5,NA,NA,NA,NA,43.5,10.88,0.64
TL,Dry,4,TL 1-4,8/12/17,224,15,0,24,16,23.5,4.5,9.5,9.5,NA,NA,NA,NA,30,7.5,0.42
TL,Dry,4,TL 1-4,8/20/17,232,15,0,24,16,23.5,4.5,10.5,10.5,NA,NA,NA,NA,31,7.75,0.42
TL,Dry,4,TL 1-4,9/2/17,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL,Dry,4,TL 1-4,9/11/17,254,15,0,24,0,23.5,0,11,11,NA,NA,NA,NA,11,2.75,0.15
TL,Dry,5,TL 1-5,7/15/17,196,10,9.5,10.5,10.5,4.5,4.5,NA,NA,NA,NA,NA,NA,24.5,8.17,0.98
TL,Dry,5,TL 1-5,7/26/17,207,10,9.5,11,11,6.5,6.5,3,3,NA,NA,NA,NA,30,7.5,0.98
TL,Dry,5,TL 1-5,8/4/17,216,10,9.5,11,11,6.5,6.5,5,5,2,2,NA,NA,34,6.8,0.99
TL,Dry,5,TL 1-5,8/12/17,224,10,8,11,11,7,7,7,7,4,4,NA,NA,37,7.4,0.95
TL,Dry,5,TL 1-5,8/20/17,232,10,8,11,0,7,7,7,7,4,4,NA,NA,26,5.2,0.67
TL,Dry,5,TL 1-5,9/2/17,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL,Dry,5,TL 1-5,9/11/17,254,11,0,11,0,7,4,9,0,5,4,3,0,8,1.33,0.17
TL,Dry,6,TL 1-6,7/15/17,196,8,5,11,11,8,8,NA,NA,NA,NA,NA,NA,24,8,0.89
TL,Dry,6,TL 1-6,7/26/17,207,8,3,11,11,9,9,NA,NA,NA,NA,NA,NA,23,7.67,0.82
TL,Dry,6,TL 1-6,8/4/17,216,8,3,12,12,10,10,2,2,NA,NA,NA,NA,27,6.75,0.84
TL,Dry,6,TL 1-6,8/12/17,224,8,2,12,11.5,10,10,3,3,NA,NA,NA,NA,26.5,6.63,0.8
TL,Dry,6,TL 1-6,8/20/17,232,8,0,12,8.5,10,10,3,3,NA,NA,NA,NA,21.5,5.38,0.65
TL,Dry,6,TL 1-6,9/2/17,245,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TL,Dry,6,TL 1-6,9/11/17,254,8,0,12,2,10,6,4,3,NA,NA,NA,NA,11,2.75,0.32
TL,Deep,1,TL 3-1,7/15/17,196,5.5,3.5,9.5,9.5,7.5,7.5,NA,NA,NA,NA,NA,NA,20.5,6.83,0.91
TL,Deep,1,TL 3-1,7/26/17,207,5.5,4,9.5,9.5,8,8,2,2,NA,NA,NA,NA,23.5,5.88,0.94
TL,Deep,1,TL 3-1,8/4/17,216,5.5,4,9.5,9.5,8,8,5,5,NA,NA,NA,NA,26.5,6.63,0.95
TL,Deep,1,TL 3-1,8/12/17,224,5.5,4,9.5,9.5,8,8,7,7,2,2,NA,NA,30.5,6.1,0.95
TL,Deep,1,TL 3-1,8/20/17,232,5.5,3.5,9.5,8.5,8,8,7,7,2,2,NA,NA,29,5.8,0.91
TL,Deep,1,TL 3-1,9/2/17,245,5.5,3.5,9.5,7,9,7.5,7,7,3,3,NA,NA,28,5.6,0.82
TL,Deep,1,TL 3-1,9/11/17,254,5.5,0,9.5,0,9,4,7,4,3,3,NA,NA,11,2.2,0.32
TL,Deep,2,TL 3-2,7/15/17,196,9.5,9.5,12,12,2,2,NA,NA,NA,NA,NA,NA,23.5,7.83,1
TL,Deep,2,TL 3-2,7/26/17,207,9.5,9.5,12,12,6,6,3,3,NA,NA,NA,NA,30.5,7.63,1
TL,Deep,2,TL 3-2,8/4/17,216,9.5,9,12,12,8,8,6,6,3,3,NA,NA,38,7.6,0.99
TL,Deep,2,TL 3-2,8/12/17,224,9.5,9,12,12,10,10,7,7,6,6,NA,NA,44,8.8,0.99
TL,Deep,2,TL 3-2,8/20/17,232,9.5,9,12.5,12,10,10,7,7,6,6,NA,NA,44,8.8,0.98
TL,Deep,2,TL 3-2,9/2/17,245,9.5,8.5,13,12.5,10,10,7,7,6,6,NA,NA,44,8.8,0.97
TL,Deep,2,TL 3-2,9/11/17,254,9.5,0,13,0,10,4.5,7,5,6,4,NA,NA,13.5,2.7,0.3
TL,Deep,3,TL 3-3,7/15/17,196,14,14,8,6,NA,NA,NA,NA,NA,NA,NA,NA,20,10,0.91
TL,Deep,3,TL 3-3,7/26/17,207,14,14,8,4.5,2,2,NA,NA,NA,NA,NA,NA,20.5,6.83,0.85
TL,Deep,3,TL 3-3,8/4/17,216,14,3,8,2.5,4,4,NA,NA,NA,NA,NA,NA,9.5,3.17,0.37
TL,Deep,3,TL 3-3,8/12/17,224,14,0,8,0,4,0,NA,NA,NA,NA,NA,NA,0,0,0
TL,Deep,3,TL 3-3,8/20/17,232,14,0,8,0,4,0,NA,NA,NA,NA,NA,NA,0,0,0
TL,Deep,3,TL 3-3,9/2/17,245,14,0,8,0,4,0,NA,NA,NA,NA,NA,NA,0,0,0
TL,Deep,3,TL 3-3,9/11/17,254,14,0,8,0,4,0,NA,NA,NA,NA,NA,NA,0,0,0
TL,Deep,4,TL 3-4,7/15/17,196,8,4,11.5,11.5,12.5,12.5,NA,NA,NA,NA,NA,NA,28,9.33,0.88
TL,Deep,4,TL 3-4,7/26/17,207,8,4,11.5,11.5,12.5,12.5,5.5,5.5,2,2,2,2,37.5,6.25,0.9
TL,Deep,4,TL 3-4,8/4/17,216,8,4,11.5,11.5,12.5,12.5,5.5,5.5,6,6,4,4,43.5,7.25,0.92
TL,Deep,4,TL 3-4,8/12/17,224,8,3.5,11.5,11.5,12.5,12.5,9,9,6,6,4,4,46.5,7.75,0.91
TL,Deep,4,TL 3-4,8/20/17,232,8,3,11.5,11.5,12.5,11.5,9,9,6,6,4,4,45,7.5,0.88
TL,Deep,4,TL 3-4,9/2/17,245,8,3,11.5,9.5,12.5,11,9,9,6.5,6.5,4,4,43,7.17,0.83
TL,Deep,4,TL 3-4,9/11/17,254,8,3,11.5,0,12.5,2.5,9,6,6.5,4.5,4,4,20,3.33,0.39
TL,Deep,5,TL 3-5,7/15/17,196,9,3.5,9.5,9.5,12.5,12.5,NA,NA,NA,NA,NA,NA,25.5,8.5,0.82
TL,Deep,5,TL 3-5,7/26/17,207,9,3.5,10.5,10.5,13.5,13.5,3.5,3.5,NA,NA,NA,NA,31,7.75,0.85
TL,Deep,5,TL 3-5,8/4/17,216,9,2.5,10.5,10.5,13.5,13.5,5,5,NA,NA,NA,NA,31.5,7.88,0.83
TL,Deep,5,TL 3-5,8/12/17,224,9,1.5,10.5,10.5,13.5,13.5,7,7,3,3,NA,NA,35.5,7.1,0.83
TL,Deep,5,TL 3-5,8/20/17,232,9,0,10.5,9.5,13.5,13,7,7,4,4,NA,NA,33.5,6.7,0.76
TL,Deep,5,TL 3-5,9/2/17,245,9,0,10,2,13.5,10,7,6.5,4,4,NA,NA,22.5,4.5,0.52
TL,Deep,5,TL 3-5,9/11/17,254,9,0,10,0,13.5,2.5,7,6,4,0,NA,NA,8.5,1.7,0.2
TL,Deep,6,TL 3-6,7/15/17,196,9.5,6,11.5,11,13,13,5,5,NA,NA,NA,NA,35,8.75,0.9
TL,Deep,6,TL 3-6,7/26/17,207,9.5,6,11.5,11,13,13,8.5,8.5,3.5,3.5,NA,NA,42,8.4,0.91
TL,Deep,6,TL 3-6,8/4/17,216,9.5,6,11.5,11,13,13,9,9,5,5,NA,NA,44,8.8,0.92
TL,Deep,6,TL 3-6,8/12/17,224,9.5,6,11.5,11,13,13,14,14,9,9,NA,NA,53,10.6,0.93
TL,Deep,6,TL 3-6,8/20/17,232,9.5,6,11.5,11,13,13,14,14,9,9,NA,NA,53,10.6,0.93
TL,Deep,6,TL 3-6,9/2/17,245,9.5,6,11.5,10,13,13,14,14,9,9,NA,NA,52,10.4,0.91
TL,Deep,6,TL 3-6,9/11/17,254,9.5,0,11.5,1.5,13,0,14,8,9,1,NA,NA,10.5,2.1,0.18
