population,treatment,replicate,tag,date,curve_id,obs,photo_umol_m2_s,cond_mol_m2_s,ci_umol_mol,trans_mmol_m2_s,vpd_kpa,tleaf_c,tblock_c,tair_c,co2_ref_umol_mol,co2_sample_umol_mol,par_umol_m2_s,press_kpa,leaf_area_cm2
TL,Dry,6,TL 1-6,17802,TL 1-6_17802,47,23.02556734,0.185081838,361.9015236,5.133709084,2.605567413,28.19134903,15.02781963,15.86307144,600.0415649,589.8884888,1500.355591,92.73226929,1.17
TL,Dry,6,TL 1-6,17802,TL 1-6_17802,48,29.31296057,0.17702465,483.9836575,4.987026968,2.641307274,28.32408905,15.02816772,15.86407089,800.5001831,787.5464478,1500.223633,92.72946167,1.17
TL,Dry,6,TL 1-6,17802,TL 1-6_17802,49,34.31929827,0.168841734,611.4984355,4.835439361,2.679903898,28.46907043,15.0279789,15.86512566,1000.244507,985.012085,1500.478394,92.72594452,1.17
TL,Dry,6,TL 1-6,17802,TL 1-6_17802,50,38.5898444,0.161672333,743.8083582,4.699046115,2.715176009,28.60410309,15.02764606,15.86824799,1200.973389,1183.765869,1499.615112,92.72517395,1.17
SG,Dry,4,SG 1-4,17802,SG 1-4_17802,51,10.7470513,0.199242318,288.9718736,5.488013129,2.595328388,28.28204727,15.02887249,15.90285301,399.6524658,394.2339783,1499.998291,92.72746277,1.26
SG,Dry,4,SG 1-4,17802,SG 1-4_17802,52,7.394698399,0.190459648,220.1391007,5.345310392,2.638903851,28.46088982,15.02701378,15.89497662,300.3451233,296.5757141,1500.556763,92.72932434,1.26
SG,Dry,4,SG 1-4,17802,SG 1-4_17802,53,3.346674363,0.182253817,159.3963154,5.201737764,2.678414104,28.61995316,15.02863407,15.89852047,200.1033783,198.2659912,1500.575195,92.7300415,1.26
SG,Dry,4,SG 1-4,17802,SG 1-4_17802,54,0.140068652,0.174392368,93.59005468,5.067051019,2.721456762,28.79094696,15.02717304,15.9006815,99.83000183,99.5594635,1499.946899,92.72878265,1.26
SG,Dry,4,SG 1-4,17802,SG 1-4_17802,55,-1.623878551,0.167533252,64.90389977,4.934827991,2.754301022,28.9193058,15.02702522,15.90044308,51.15607071,51.73049545,1499.8573,92.72423553,1.26
SG,Dry,4,SG 1-4,17802,SG 1-4_17802,56,11.41044919,0.162228303,261.7229803,4.795158996,2.760797457,28.93515396,15.02670383,15.89991856,399.3579407,393.7757874,1499.693237,92.72865295,1.26
SG,Dry,4,SG 1-4,17802,SG 1-4_17802,57,17.9642812,0.160689575,382.9578739,4.758253574,2.764618637,28.95340347,15.02739716,15.90140343,599.8994751,591.1795044,1499.55249,92.72325134,1.26
SG,Dry,4,SG 1-4,17802,SG 1-4_17802,58,24.23322563,0.159482369,506.1496072,4.732100916,2.76933731,28.97379494,15.02879047,15.906106,800.1782837,788.4412842,1499.212769,92.72011566,1.26
SG,Dry,4,SG 1-4,17802,SG 1-4_17802,59,29.16160053,0.157958667,642.1798915,4.704560154,2.778517037,29.01139069,15.02787209,15.91160965,1000.765869,986.5773315,1498.774292,92.71331787,1.26
SG,Dry,4,SG 1-4,17802,SG 1-4_17802,60,33.91743574,0.155418756,775.3700163,4.656726378,2.793558938,29.07110405,15.02838612,15.91260624,1199.942627,1183.39502,1499.994385,92.71631622,1.26
CF,Deep,5,CF 3-5,17802,CF 3-5_17802,61,8.92903024,0.124767152,261.7806749,3.887354913,2.884911097,29.26574326,15.02596569,15.88188267,399.6619568,395.7912598,1500.009521,92.7305069,1.11
CF,Deep,5,CF 3-5,17802,CF 3-5_17802,62,5.047207641,0.111083827,210.1493205,3.600299853,2.990865053,29.6592083,15.01896763,15.87268353,300.100708,297.8379211,1500.745361,92.73403168,1.11
CF,Deep,5,CF 3-5,17802,CF 3-5_17802,63,1.514750189,0.098637651,164.2831911,3.283638923,3.062942678,29.91352081,15.01990223,15.87192726,199.980011,199.1780701,1500.219971,92.73757935,1.11
CF,Deep,5,CF 3-5,17802,CF 3-5_17802,64,-0.48167531,0.088417401,103.8739892,2.976124693,3.090344536,29.96076393,15.02345371,15.84752941,100.54240419999999,100.609787,1500.708618,92.74286652,1.11
CF,Deep,5,CF 3-5,17802,CF 3-5_17802,65,-2.627391404,0.0803112,100.8244405,2.749102989,3.136891544,30.11247635,15.02882481,15.85984898,51.00667191,51.92536926,1499.035889,92.74868774,1.11
CF,Deep,5,CF 3-5,17802,CF 3-5_17802,66,4.232262166,0.073792608,285.5994547,2.570469764,3.187222665,30.26437378,15.02325821,15.85504627,399.9170532,397.9740295,1501.285522,92.75031281,1.11
CF,Deep,5,CF 3-5,17802,CF 3-5_17802,67,5.996554999,0.073284888,437.111713,2.52377237,3.151551358,30.08979416,15.02437973,15.82299805,601.5769043,598.8010254,1500.310669,92.75079346,1.11
CF,Deep,5,CF 3-5,17802,CF 3-5_17802,68,9.968497697,0.06984534,527.5859546,2.406478906,3.150714548,30.06295204,15.02959347,15.82678795,800.3458862,795.9518433,1499.532593,92.74531555,1.11
CF,Deep,5,CF 3-5,17802,CF 3-5_17802,69,11.7593774,0.068531001,670.0146456,2.381924698,3.176957241,30.16038895,15.02667713,15.84024143,1000.2789309999999,995.0545044,1499.154541,92.74191284,1.11
CF,Deep,5,CF 3-5,17802,CF 3-5_17802,70,13.31333262,0.067065275,816.186856,2.347153174,3.197378448,30.23880386,15.03264141,15.84563637,1200.858154,1194.898804,1499.427368,92.73442078,1.11
TL,Deep,4,TL 3-4,17802,TL 3-4_17802,71,10.7934772,0.1932743,290.6416132,3.866375534,1.891029899,24.74062347,15.02741623,15.72902489,400.1477356,394.7311401,1500.546143,92.74233246,1.32
TL,Deep,4,TL 3-4,17802,TL 3-4_17802,72,7.517169157,0.190063298,222.0898416,3.829246415,1.90352926,24.70268059,15.0290184,15.70784092,300.1783447,296.3739929,1501.191162,92.74554443,1.32
TL,Deep,4,TL 3-4,17802,TL 3-4_17802,73,3.922484629,0.186235881,157.04935,3.773146277,1.91294463,24.64028168,15.02880001,15.69154549,199.9829254,197.9299469,1500.231567,92.74578094,1.32
TL,Deep,4,TL 3-4,17802,TL 3-4_17802,74,0.86604743,0.18358724,88.53353719,3.733375211,1.919509285,24.55708313,15.0298996,15.673883439999999,100.0632401,99.51913452,1500.741455,92.75199127,1.32
