curve_id,population,treatment,replicate,tag,date,vcmax_25c,jmax_25c,rd_25c,vcmax_25c_se,jmax_25c_se,rd_25c_se,vcmax_meas_temp,jmax_meas_temp,rd_meas_temp,vcmax_meas_temp_se,jmax_meas_temp_se,rd_meas_temp_se
CF 1-3_171803,CF,Dry,3,CF 1-3,170803,71.77322344,235.8287059,5.803822816,1.306224637,7.790788456,0.410285504,114.2624243544082,282.2459220683574,6.027896904286848,3.127919698621969,19.977090237828314,0.6213492397034098
CF 1-3_17802,CF,Dry,3,CF 1-3,170802,21.8637218,67.99665267,2.688763969,0.852916395,NA,0.18285533,38.499525538132524,82.41675683650608,2.688763968909876,0.8529163947292543,NA,0.18285532962390455
CF 1-6_17802,CF,Dry,6,CF 1-6,170802,61.12253617,176.6724319,3.99168506,2.837794503,NA,0.668904696,77.70968388799827,193.95879409146193,3.991685060144146,2.8377945030408696,NA,0.6689046963472725
CF 2-1_17802,CF,Wet,1,CF 2-1,170802,48.74572234,147.6794366,1.287317278,1.791259079,NA,0.354788291,72.03013467847295,170.57981138306565,1.287317277925188,1.7912590789343346,NA,0.35478829118996513
CF 2-3_171803,CF,Wet,3,CF 2-3,170803,61.7280509,186.3907009,7.309769935,2.638626347,9.936731623,0.848996139,97.81644832412064,222.6237437007196,7.561094733565079,5.044939419768411,15.151568963457732,1.036345225337133
CF 2-3_17802,CF,Wet,3,CF 2-3,170802,38.42890907,117.1731949,4.467441018,1.314547766,4.659419657,0.468973431,62.38620934777365,142.75828776837017,5.112316350274837,4.2343108461204135,NA,0.970942742125913
CF 3-4_17802,CF,Deep,4,CF 3-4,170802,17.43720914,42.99570652,2.100617081,1.156966835,NA,0.443329542,11.83321967897751,36.31427083951279,2.1006170811262614,1.156966834963452,NA,0.44332954248477535
CF 3-5_17802,CF,Deep,5,CF 3-5,170802,22.58091958,62.03386551,1.572332917,4.419005344,12.12358947,1.476150047,40.71873347940477,76.78369241323101,1.8454813136364165,7.192620888085603,13.620631065543094,1.3778642808359611
SG 1-2_171803,SG,Dry,2,SG 1-2,170803,88.86656949,249.0266724,5.798095409,1.809550547,5.3070188720000004,0.448871757,110.45373422081255,285.5661837731379,6.167087932954255,2.425905339195003,9.276288660962658,0.5501946319025041
SG 1-2_17802,SG,Dry,2,SG 1-2,170802,37.96946502,107.985708,3.27531351,1.830665333,NA,0.369482041,57.93853812283512,125.96346705169296,3.2753135099397217,1.8306653327102436,NA,0.3694820410106586
SG 1-4_17802,SG,Dry,4,SG 1-4,170802,59.96643722,185.3099009,4.281643739,4.558777103,NA,0.927979063,91.23548845796968,215.9699668157019,4.281643739256572,4.558777102620103,NA,0.9279790625356946
SG 2-4_17802,SG,Wet,4,SG 2-4,170802,77.08297977,208.9346145,2.322477,1.942747184,6.919697381,0.494192574,121.7707464961592,253.10254714555697,2.9767268894572165,3.795214590030734,10.836763593140445,0.6335087194376099
SG 2-5_171803,SG,Wet,5,SG 2-5,170803,58.17683856,189.0567126,6.328663391,2.561975346,15.84118287,0.848781084,109.12600961448197,231.88124682927614,6.585953220727842,5.344876865494839,NA,0.9606563877457561
SG 2-5_17802,SG,Wet,5,SG 2-5,170802,34.28409343,103.0820437,2.781495329,2.919594121,NA,0.416968095,74.55382468497969,129.43763211913267,2.7814953291096636,2.9195941214355465,NA,0.4169680949073915
SG 3-1_17802,SG,Deep,1,SG 3-1,170802,34.10309359,84.20035249,1.827151264,1.942631702,5.328159257,0.523687809,40.405160271256975,91.30604069614341,2.1624236098268863,1.3241559330174764,3.374194504548462,0.311402119345512
SG 3-4_17802,SG,Deep,4,SG 3-4,170802,68.16490521,178.6710079,3.656662642,1.888714007,NA,0.54502234,59.76061596691595,169.0285737162131,3.656662642495176,1.8887140070911836,NA,0.5450223402033951
TL 1-4_17802,TL,Dry,4,TL 1-4,170802,24.93522936,75.20031877,4.072800644,3.156584945,NA,0.71272424,40.00516614099071,89.00067386218154,4.072800644207851,3.1565849448887153,NA,0.7127242397018221
TL 1-5_171803,TL,Dry,5,TL 1-5,170803,74.64368996,214.976868,6.725891972,2.79747058,NA,0.757829978,79.04958977854558,220.0568848489937,6.72589197214707,2.7974705803174023,NA,0.7578299775285526
TL 1-6_17802,TL,Dry,6,TL 1-6,170802,75.21353921,198.1319616,2.420458035,3.416625916,8.310768305,0.831979109,106.94009232367367,246.6298626890196,3.3354588875428055,2.3947997557405243,7.842483683010423,0.4892439678143038
TL 2-2_171803,TL,Wet,2,TL 2-2,170803,26.40654481,82.53829779,5.075538479,2.902996002,NA,0.720823948,36.71296075604383,93.47712544664518,5.0755384789318585,2.902996001942527,NA,0.7208239479580509
TL 2-2_17802,TL,Wet,2,TL 2-2,170802,69.29583835,185.2252099,6.356161928,9.962949017,22.38796514,2.514818951,103.67906591499366,251.60242441198724,4.4759740225060485,4.227853159420794,13.56413126535684,0.7858827861811541
TL 2-3_17802,TL,Wet,3,TL 2-3,170802,44.98774824,122.9066207,1.930298111,1.15801914,3.497845782,0.341433163,79.9848245914848,151.97319545479778,2.316079512353499,1.0247341384159316,2.2276040429655564,0.1745931540067114
TL 3-3_17802,TL,Deep,3,TL 3-3,170802,60.15959759,163.3003718,3.623857633,3.581545925,NA,0.68518135,81.71858610887261,183.49700836380882,3.623857632672305,3.5815459252364534,NA,0.6851813497455435
TL 3-4_17802,TL,Deep,4,TL 3-4,170802,53.75361975,148.4871742,2.274253002,1.746272313,NA,0.502896103,50.364496605353374,144.5087019450936,2.2742530018976086,1.7462723129806117,NA,0.5028961027331602
