population,treatment,replicate,tag,date,doy,per,gwc
CF,Wet,1,CF 2-1,7/17/17,198,1.671,4.483642853387963
CF,Wet,2,CF 2-2,7/17/17,198,1.704,4.647454975378914
CF,Wet,3,CF 2-3,7/17/17,198,1.489,3.3521731875924394
CF,Wet,4,CF 2-4,7/17/17,198,1.549,3.76129079724259
CF,Wet,5,CF 2-5,7/17/17,198,1.499,3.422329215367401
CF,Wet,6,CF 2-6,7/17/17,198,1.639,4.310872862942402
CF,Dry,1,CF 1-1,7/17/17,198,1.268,1.6834232157338542
CF,Dry,2,CF 1-2,7/17/17,198,1.304,1.9631918674282722
CF,Dry,3,CF 1-3,7/17/17,198,1.379,2.541409691623922
CF,Dry,4,CF 1-4,7/17/17,198,1.255,1.5824970976098907
CF,Dry,5,CF 1-5,7/17/17,198,1.206,1.2042858493438198
CF,Dry,6,CF 1-6,7/17/17,198,1.446,3.04287922519727
CF,Deep,1,CF 3-1,7/17/17,198,1.125,0.5954066835600216
CF,Deep,2,CF 3-2,7/17/17,198,1.335,2.203475320783358
CF,Deep,3,CF 3-3,7/17/17,198,1.097,0.39244598254046914
CF,Deep,4,CF 3-4,7/17/17,198,1.229,1.3812453855744853
CF,Deep,5,CF 3-5,7/17/17,198,1.132,0.6468548745283982
CF,Deep,6,CF 3-6,7/17/17,198,1.278,1.7611298438442087
TL,Wet,1,TL 2-1,7/17/17,198,1.602,4.095523108305768
TL,Wet,2,TL 2-2,7/17/17,198,1.338,2.226656477166762
TL,Wet,3,TL 2-3,7/17/17,198,1.534,3.661806955683432
TL,Wet,4,TL 2-4,7/17/17,198,1.536,3.6751862032772395
TL,Wet,5,TL 2-5,7/17/17,198,1.663,4.441690007143438
TL,Wet,6,TL 2-6,7/17/17,198,1.492,3.3732958156238153
TL,Dry,1,TL 1-1,7/17/17,198,1.347,2.296096815719686
TL,Dry,2,TL 1-2,7/17/17,198,1.277,1.753357539840429
TL,Dry,3,TL 1-3,7/17/17,198,1.282,1.7922210905332308
TL,Dry,4,TL 1-4,7/17/17,198,1.268,1.6834232157338542
TL,Dry,5,TL 1-5,7/17/17,198,1.229,1.3812453855744853
TL,Dry,6,TL 1-6,7/17/17,198,1.305,1.9709584316709712
TL,Deep,1,TL 3-1,7/17/17,198,1.196,1.1277728706133758
TL,Deep,2,TL 3-2,7/17/17,198,1.227,1.3658109043467925
TL,Deep,3,TL 3-3,7/17/17,198,1.242,1.4817457879583738
TL,Deep,4,TL 3-4,7/17/17,198,1.19,1.0820106099804232
TL,Deep,5,TL 3-5,7/17/17,198,1.122,0.5734398249616244
TL,Deep,6,TL 3-6,7/17/17,198,1.225,1.3503844400083247
SG,Wet,1,SG 2-1,7/17/17,198,1.382,2.564254165985894
SG,Wet,2,SG 2-2,7/17/17,198,1.298,1.9165797739659578
SG,Wet,3,SG 2-3,7/17/17,198,1.717,4.707715212532575
SG,Wet,4,SG 2-4,7/17/17,198,1.452,3.0867188568439934
SG,Wet,5,SG 2-5,7/17/17,198,1.416,2.8208167394882446
SG,Wet,6,SG 2-6,7/17/17,198,1.487,3.338056023704893
SG,Dry,1,SG 1-1,7/17/17,198,1.208,1.2196223328344309
SG,Dry,2,SG 1-2,7/17/17,198,1.26,1.6212983044680322
SG,Dry,3,SG 1-3,7/17/17,198,1.177,0.9832748246188839
SG,Dry,4,SG 1-4,7/17/17,198,1.155,0.8176619012498263
SG,Dry,5,SG 1-5,7/17/17,198,1.199,1.1506960213718251
SG,Dry,6,SG 1-6,7/17/17,198,1.221,1.3195566704020896
SG,Deep,1,SG 3-1,7/17/17,198,1.272,1.7145007977121232
SG,Deep,2,SG 3-2,7/17/17,198,1.116,0.529659354562645
SG,Deep,3,SG 3-3,7/17/17,198,1.168,0.9152845828458184
SG,Deep,4,SG 3-4,7/17/17,198,1.287,1.8310871200912087
SG,Deep,5,SG 3-5,7/17/17,198,1.177,0.9832748246188839
SG,Deep,6,SG 3-6,7/17/17,198,1.079,0.26461738966274206
CF,Wet,1,CF 2-1,7/26/17,207,1.875,5.2152873658321255
CF,Wet,2,CF 2-2,7/26/17,207,1.65,4.371736666592761
CF,Wet,3,CF 2-3,7/26/17,207,1.631,4.2656733945475676
CF,Wet,4,CF 2-4,7/26/17,207,1.699,4.623620498614887
CF,Wet,5,CF 2-5,7/26/17,207,1.665,4.4522574980699146
CF,Wet,6,CF 2-6,7/26/17,207,1.699,4.623620498614887
CF,Dry,1,CF 1-1,7/26/17,207,1.435,2.961990102951327
CF,Dry,2,CF 1-2,7/26/17,207,1.527,3.6147095777235574
CF,Dry,3,CF 1-3,7/26/17,207,NA,NA
CF,Dry,4,CF 1-4,7/26/17,207,1.651,4.377194547522694
CF,Dry,5,CF 1-5,7/26/17,207,1.489,3.3521731875924394
CF,Dry,6,CF 1-6,7/26/17,207,1.415,2.813339061377601
CF,Deep,1,CF 3-1,7/26/17,207,1.216,1.2810719892534073
CF,Deep,2,CF 3-2,7/26/17,207,1.362,2.4114308317471362
CF,Deep,3,CF 3-3,7/26/17,207,1.373,2.4956336394293444
CF,Deep,4,CF 3-4,7/26/17,207,1.352,2.3346010678871925
CF,Deep,5,CF 3-5,7/26/17,207,1.333,2.1880124756089168
CF,Deep,6,CF 3-6,7/26/17,207,1.487,3.338056023704893
TL,Wet,1,TL 2-1,7/26/17,207,1.748,4.841062652365631
TL,Wet,2,TL 2-2,7/26/17,207,1.628,4.248524816828568
TL,Wet,3,TL 2-3,7/26/17,207,1.648,4.360782996929948
TL,Wet,4,TL 2-4,7/26/17,207,1.301,1.9398883360157146
TL,Wet,5,TL 2-5,7/26/17,207,1.796,5.016748396689344
TL,Wet,6,TL 2-6,7/26/17,207,1.712,4.684833405711634
TL,Dry,1,TL 1-1,7/26/17,207,1.601,4.089486234658176
TL,Dry,2,TL 1-2,7/26/17,207,1.477,3.26705565314599
TL,Dry,3,TL 1-3,7/26/17,207,1.584,3.9852122605048996
TL,Dry,4,TL 1-4,7/26/17,207,1.527,3.6147095777235574
TL,Dry,5,TL 1-5,7/26/17,207,1.376,2.5185358710333863
TL,Dry,6,TL 1-6,7/26/17,207,1.559,3.82647693905599
TL,Deep,1,TL 3-1,7/26/17,207,1.342,2.2575387563262463
TL,Deep,2,TL 3-2,7/26/17,207,1.433,2.9472140337838852
TL,Deep,3,TL 3-3,7/26/17,207,1.426,2.8953379798232914
TL,Deep,4,TL 3-4,7/26/17,207,1.349,2.3115052159169625
TL,Deep,5,TL 3-5,7/26/17,207,1.235,1.4275941595853527
TL,Deep,6,TL 3-6,7/26/17,207,1.373,2.4956336394293444
SG,Wet,1,SG 2-1,7/26/17,207,1.752,4.857167657807878
SG,Wet,2,SG 2-2,7/26/17,207,1.672,4.4888271359497764
SG,Wet,3,SG 2-3,7/26/17,207,1.832,5.121952884803714
SG,Wet,4,SG 2-4,7/26/17,207,1.467,3.1953897649544527
SG,Wet,5,SG 2-5,7/26/17,207,1.59,4.0223655290942935
SG,Wet,6,SG 2-6,7/26/17,207,1.689,4.574880020612739
SG,Dry,1,SG 1-1,7/26/17,207,1.688,4.569928410387196
SG,Dry,2,SG 1-2,7/26/17,207,1.581,3.9664952797169706
SG,Dry,3,SG 1-3,7/26/17,207,1.447,3.0501999860515996
SG,Dry,4,SG 1-4,7/26/17,207,1.477,3.26705565314599
SG,Dry,5,SG 1-5,7/26/17,207,1.651,4.377194547522694
SG,Dry,6,SG 1-6,7/26/17,207,1.564,3.8587160950969297
SG,Deep,1,SG 3-1,7/26/17,207,1.387,2.6022605359910043
SG,Deep,2,SG 3-2,7/26/17,207,1.363,2.419099684462186
SG,Deep,3,SG 3-3,7/26/17,207,1.431,2.9324174401277756
SG,Deep,4,SG 3-4,7/26/17,207,1.477,3.26705565314599
SG,Deep,5,SG 3-5,7/26/17,207,1.405,2.738320074973656
SG,Deep,6,SG 3-6,7/26/17,207,1.249,1.5359701645924249
CF,Wet,1,CF 2-1,7/31/17,212,1.968,5.284231012792596
CF,Wet,2,CF 2-2,7/31/17,212,1.829,5.114101655193477
CF,Wet,3,CF 2-3,7/31/17,212,1.709,4.6709265043858235
CF,Wet,4,CF 2-4,7/31/17,212,1.855,5.176410095684082
CF,Wet,5,CF 2-5,7/31/17,212,1.858,5.18275203662602
CF,Wet,6,CF 2-6,7/31/17,212,1.77,4.926404435225848
CF,Dry,1,CF 1-1,7/31/17,212,1.437,2.976745370529344
CF,Dry,2,CF 1-2,7/31/17,212,1.621,4.2080970943801335
CF,Dry,3,CF 1-3,7/31/17,212,1.706,4.656887383175694
