population,treatment,replicate,tag,date,doy,ndvi,lai,biomass_g
CF,Dry,1,CF 1-1,7/26/17,207,0.43,0.8048833673660827,0.25219241594420944
CF,Dry,2,CF 1-2,7/26/17,207,0.51,1.4842982515422911,0.38598262345111634
CF,Dry,3,CF 1-3,7/26/17,207,0.59,2.737218072652074,0.5907496664735727
CF,Dry,4,CF 1-4,7/26/17,207,0.47,1.0930173717178273,0.3119966190852411
CF,Dry,5,CF 1-5,7/26/17,207,0.5,1.3749840109900042,0.36598500092614666
CF,Dry,6,CF 1-6,7/26/17,207,0.47,1.0930173717178273,0.3119966190852411
CF,Deep,1,CF 3-1,7/26/17,207,0.26,0.21924665655285563,0.10208362715967247
CF,Deep,2,CF 3-2,7/26/17,207,0.33,0.3745395413123016,0.14814512260686796
CF,Deep,3,CF 3-3,7/26/17,207,0.34,0.4043162552145069,0.156239853902715
CF,Deep,4,CF 3-4,7/26/17,207,0.47,1.0930173717178273,0.3119966190852411
CF,Deep,5,CF 3-5,7/26/17,207,0.42,0.7456060530221711,0.23912641651496003
CF,Deep,6,CF 3-6,7/26/17,207,0.36,0.4711598315940518,0.17378038580496738
TL,Wet,1,TL 2-1,7/26/17,207,0.39,0.592705341951152,0.2038516149509959
TL,Wet,2,TL 2-2,7/26/17,207,0.65,4.331622151460234,0.812887197521663
TL,Wet,3,TL 2-3,7/26/17,207,0.49,1.273720445681124,0.34702344811611796
TL,Wet,4,TL 2-4,7/26/17,207,0.66,4.67599560021431,0.8573038028204663
TL,Wet,5,TL 2-5,7/26/17,207,0.54,1.8672039587106786,0.4527736589435233
TL,Wet,6,TL 2-6,7/26/17,207,0.65,4.331622151460234,0.812887197521663
TL,Dry,1,TL 1-1,7/26/17,207,0.49,1.273720445681124,0.34702344811611796
TL,Dry,2,TL 1-2,7/26/17,207,0.29,0.27580590667960414,0.11974833730608354
TL,Dry,3,TL 1-3,7/26/17,207,0.57,2.3488881832220447,0.531122319445733
TL,Dry,4,TL 1-4,7/26/17,207,0.43,0.8048833673660827,0.25219241594420944
TL,Dry,5,TL 1-5,7/26/17,207,0.56,2.1758994138663192,0.5036050608606268
TL,Dry,6,TL 1-6,7/26/17,207,0.51,1.4842982515422911,0.38598262345111634
TL,Deep,1,TL 3-1,7/26/17,207,0.37,0.508618070204669,0.18327584203617128
TL,Deep,2,TL 3-2,7/26/17,207,0.41,0.6906943401284741,0.22673736187188107
TL,Deep,3,TL 3-3,7/26/17,207,0.32,0.34695579561104917,0.14046977646221773
TL,Deep,4,TL 3-4,7/26/17,207,0.54,1.8672039587106786,0.4527736589435233
TL,Deep,5,TL 3-5,7/26/17,207,0.42,0.7456060530221711,0.23912641651496003
TL,Deep,6,TL 3-6,7/26/17,207,0.41,0.6906943401284741,0.22673736187188107
SG,Wet,1,SG 2-1,7/26/17,207,0.5,1.3749840109900042,0.36598500092614666
SG,Wet,2,SG 2-2,7/26/17,207,0.69,5.882266240333915,1.0056529906931913
SG,Wet,3,SG 2-3,7/26/17,207,0.71,6.854751782652693,1.1185543274854868
SG,Wet,4,SG 2-4,7/26/17,207,0.6,2.9548329048583892,0.623028554425252
SG,Wet,5,SG 2-5,7/26/17,207,0.58,2.5356299386452834,0.5601431362332641
SG,Wet,6,SG 2-6,7/26/17,207,0.59,2.737218072652074,0.5907496664735727
SG,Dry,1,SG 1-1,7/26/17,207,0.44,0.8688733580376395,0.26597234879651266
SG,Dry,2,SG 1-2,7/26/17,207,0.39,0.592705341951152,0.2038516149509959
SG,Dry,3,SG 1-3,7/26/17,207,0.56,2.1758994138663192,0.5036050608606268
