contrast,estimate,SE,df,t.ratio,p.value
Sagwon - Toolik,-1.85314916892068,24.444411988614494,51,-0.07581074847633168,0.9968366151208168
Sagwon - Coldfoot,51.12672368960983,24.444411988614494,51,2.091550564334425,0.1016527928493991
Toolik - Coldfoot,52.97987285853051,24.444411988614476,51,2.1673613128107583,0.08665268985627628
