Term,F_value,p_value,Parameter,Correction
Population,1.3052187149797576,0.3021542906200964,Vcmax,TRUE
TreatmentName,0.6262892553516662,0.5482198716984898,Vcmax,TRUE
Population:TreatmentName,0.561404912174783,0.6945125987466882,Vcmax,TRUE
Population,0.9236516523316212,0.4185106203634753,Vcmax,FALSE
TreatmentName,3.4492959103456355,0.05855487096150106,Vcmax,FALSE
Population:TreatmentName,0.578438856493622,0.682769085675537,Vcmax,FALSE
Population,0.9827689753925579,0.3986679789250318,Jmax,TRUE
TreatmentName,0.9679846978760558,0.4032000290806228,Jmax,TRUE
Population:TreatmentName,0.7820732774076269,0.5553175996250171,Jmax,TRUE
Population,0.7484013780441682,0.4911357093909485,Jmax,FALSE
TreatmentName,1.7605845977619983,0.2065341773069045,Jmax,FALSE
Population:TreatmentName,0.5352935923268866,0.7121736423999787,Jmax,FALSE
