Population,Treatment Name,mean_pressure,se_pressure
Sagwon,Wet,-1.26,0.13203534880225573
Sagwon,Dry,-1.19375,0.11316766164791575
Sagwon,Deep,-1.4200000000000002,0.08825468196582482
Toolik,Wet,-1.28,0.07310570733153769
Toolik,Dry,-1.15625,0.10455582070290083
Toolik,Deep,-1.395,0.09645090864153523
Coldfoot,Wet,-1.2550000000000001,0.08610394235392993
Coldfoot,Dry,-1.325,0.12026755886059097
Coldfoot,Deep,-1.2650000000000001,0.07073031724640982
