TreatmentName,Vcmax_mean,Vcmax_se,Jmax_mean,Jmax_se,n,Correction
Wet,51.0151934696714,5.6089920528822175,149.22077106029803,14.966522082788472,9,Tcorrect = TRUE (25C)
Dry,57.3727126904805,7.928651444275449,167.90324730351566,22.629179246014363,9,Tcorrect = TRUE (25C)
Deep,42.699890681891986,8.548633979292456,113.28141280284748,23.401738479319633,6,Tcorrect = TRUE (25C)
Wet,84.22891382316782,8.809309690475223,183.04844602883904,19.43638033394814,9,Tcorrect = FALSE (meas. temp)
Dry,79.56602698059625,9.694203935790377,193.53427911522812,25.875221417034993,9,Tcorrect = FALSE (meas. temp)
Deep,47.46680201846353,9.4830983196645,116.90638132900045,23.57485845205429,6,Tcorrect = FALSE (meas. temp)
