Parameter,Correction,Term,Estimate,Std. Error,Pr(>|t|),Direction
Vcmax,Tcorrect=TRUE (25C),Dry,5.7528540236862105,17.30268484050936,0.7444503037249183,positive
Vcmax,Tcorrect=TRUE (25C),Deep,-3.3306764293358224,19.485030932336993,0.8666434069052508,negative
Vcmax,Tcorrect=FALSE (~28C),Dry,-15.274273331334724,22.91249838062718,0.5151290138921476,negative
Vcmax,Tcorrect=FALSE (~28C),Deep,-51.73397214612072,25.616951956718115,0.06167107642157514,negative
Jmax,Tcorrect=TRUE (25C),Dry,13.749638060341603,45.93074696416171,0.7690666068101775,positive
Jmax,Tcorrect=TRUE (25C),Deep,-23.49436038328047,51.95033422433833,0.6578966531812522,negative
Jmax,Tcorrect=FALSE (~28C),Dry,4.3593971821890936,56.01931038134929,0.9390728794552046,positive
Jmax,Tcorrect=FALSE (~28C),Deep,-65.07768435670901,63.20997940757856,0.32023893217543337,negative
