contrast,estimate,SE,df,t.ratio,p.value
Sagwon - Toolik,0.37361111111110074,1.5909700004216232,51,0.23483227905748694,0.9700749799593206
Sagwon - Coldfoot,3.5822222222222058,1.5909700004216232,51,2.251596335111838,0.0721864201352217
Toolik - Coldfoot,3.208611111111105,1.5909700004216218,51,2.0167640560543525,0.11845856109300335
