Population,mean_d13c,boot,ci_lower,ci_upper
Sagwon,-26.82888888888889,,-27.300055555555556,-26.423250000000003
Toolik,-26.784444444444446,,-27.211166666666667,-26.33663888888889
Coldfoot,-26.20111111111111,,-26.67888888888889,-25.708666666666666
