Treatment Name,Sagwon_minus_Toolik,Sagwon_minus_Coldfoot,Toolik_minus_Coldfoot,Sagwon_minus_Toolik_pct,Sagwon_minus_Coldfoot_pct,Toolik_minus_Coldfoot_pct
Wet,-34.81221790445028,-51.66395101913747,-16.851733114687192,-7.5244827816167845,-10.774448449255418,-3.5144065860845743
Dry,-57.44418460762358,-54.514624677459494,2.929559930164089,-15.54276510936943,-14.867961128389625,0.7989889579663036
Deep,7.034204245185208,-15.452604063626552,-22.48680830881176,3.570528585033976,-7.04009764959476,-10.244831594073741
