Population,emmean,SE,df,lower.CL,upper.CL,.group
Coldfoot,72.64890396571407,17.284809479267043,51,29.97808795181323,115.31971997961492, a
Sagwon,123.7756276553239,17.28480947926704,51,81.10481164142307,166.44644366922472, a
Toolik,125.62877682424458,17.28480947926704,51,82.95796081034375,168.29959283814543, a
