Population,Treatment,Tag,ndvi_auc,lai_auc,biomass_auc
Sagwon,Wet,SG 2-1,27.95999999999998,94.36968626278963,22.69063709292891
Sagwon,Wet,SG 2-2,35.19999999999993,246.1492704825555,44.5502518367183
Sagwon,Wet,SG 2-3,35.61500000000001,290.7752687128609,49.23889902812164
Sagwon,Wet,SG 2-4,32.13499999999999,166.974728390996,33.76914458354935
Sagwon,Wet,SG 2-5,28.564999999999998,115.44779817607582,25.38521854427836
Sagwon,Wet,SG 2-6,31.694999999999993,164.50449070528452,33.16996906612144
Sagwon,Dry,SG 1-1,25.900000000000034,112.05503138430822,23.248733025483602
Sagwon,Dry,SG 1-2,26.185000000000002,76.11603817146818,19.322518284708053
Sagwon,Dry,SG 1-3,29.940000000000055,112.62742321010592,26.128179951390734
Sagwon,Dry,SG 1-4,31.83499999999998,168.73483251047264,33.62296850834912
Sagwon,Dry,SG 1-5,33.41999999999996,195.4351838698044,37.71735088190843
Sagwon,Dry,SG 1-6,31.389999999999986,136.40745301902916,29.883451531147443
Sagwon,Deep,SG 3-1,24.119999999999948,49.455361823134695,14.785037312347583
Sagwon,Deep,SG 3-2,22.63499999999999,41.04763097565524,12.925552965381542
Sagwon,Deep,SG 3-3,24.60499999999996,56.887707461936884,16.00452237214367
Sagwon,Deep,SG 3-4,28.189999999999998,95.06660711272048,22.7682770602907
Sagwon,Deep,SG 3-5,26.54000000000002,72.49124066456864,19.062579050343857
Sagwon,Deep,SG 3-6,21.20500000000004,33.41554486206235,11.22970993274319
Toolik,Wet,TL 2-1,23.710000000000036,47.17171450503838,14.308895854904478
Toolik,Wet,TL 2-2,33.065,211.69322114889792,39.190829601369614
Toolik,Wet,TL 2-3,27.565000000000055,83.06857652139979,21.034036623672762
Toolik,Wet,TL 2-4,35.95999999999998,281.41723320847905,48.73569829625569
Toolik,Wet,TL 2-5,32.49000000000001,176.62486520579796,35.01237383800475
Toolik,Wet,TL 2-6,36.5449999999999,350.2599001590079,55.24926136003671
Toolik,Dry,TL 1-1,31.914999999999964,168.93920414723516,33.601712362210264
Toolik,Dry,TL 1-2,18.850000000000023,24.141121574175997,8.972250764522329
Toolik,Dry,TL 1-3,29.590000000000032,108.52206651070719,25.333919057872777
Toolik,Dry,TL 1-4,23.164999999999964,44.66088172475844,13.701576616929657
Toolik,Dry,TL 1-5,32.829999999999984,191.04168112471052,36.741962962935986
Toolik,Dry,TL 1-6,28.694999999999993,96.3100127139187,23.395460769195267
Toolik,Deep,TL 3-1,25.019999999999982,62.40938650601515,16.936048239561273
Toolik,Deep,TL 3-2,26.490000000000123,78.18501841966759,19.65771228471999
Toolik,Deep,TL 3-3,20.875,30.773412248824457,10.696962009363801
Toolik,Deep,TL 3-4,32.29000000000008,169.35890192361353,33.93396011304952
Toolik,Deep,TL 3-5,23.99500000000006,50.72692977507904,14.933728801553428
Toolik,Deep,TL 3-6,27.359999999999957,86.0138554190761,21.279107883702466
Coldfoot,Wet,CF 2-1,25.93500000000006,64.76478819816407,17.783502612749714
Coldfoot,Wet,CF 2-2,25.785000000000025,65.94357108629879,17.817595592676952
Coldfoot,Wet,CF 2-3,26.375,68.35812227135466,18.452516187145875
Coldfoot,Wet,CF 2-4,27.21500000000009,80.76126914791666,20.475249480949287
Coldfoot,Wet,CF 2-5,35.799999999999955,244.92637282123633,45.153045974387624
Coldfoot,Wet,CF 2-6,28.255000000000052,95.89773947801837,23.095825648014568
Coldfoot,Dry,CF 1-1,23.569999999999993,46.08401869058889,14.074276431323682
Coldfoot,Dry,CF 1-2,26.5,67.38611900030367,18.430236942121127
Coldfoot,Dry,CF 1-3,30.434999999999945,121.92905618248801,27.51399001699224
Coldfoot,Dry,CF 1-4,21.805000000000064,35.07389057743933,11.713688620518212
Coldfoot,Dry,CF 1-5,29.17500000000001,110.61809267904255,25.31291405855609
Coldfoot,Dry,CF 1-6,28.105000000000075,94.49261726916643,22.712555512762037
Coldfoot,Deep,CF 3-1,14.16500000000002,11.706359993187164,5.522861220581305
Coldfoot,Deep,CF 3-2,17.714999999999947,19.313969835624505,7.7968101127577825
Coldfoot,Deep,CF 3-3,20.365000000000066,29.686870470338476,10.36289310683324
Coldfoot,Deep,CF 3-4,25.379999999999995,58.121566371622976,16.590355472565307
Coldfoot,Deep,CF 3-5,25.234999999999957,62.472915493078176,17.10885693047416
Coldfoot,Deep,CF 3-6,20.840000000000032,30.142931816984913,10.581004141554018
