comparison,diff,ci_lower,ci_upper
Coldfoot vs Toolik,0.5833333333333357,-0.1210107142857165,1.3107562499999994
Coldfoot vs Sagwon,0.62777777777778,-0.05654523809523928,1.3161939393939388
Toolik vs Sagwon,0.04444444444444429,-0.5788085227272722,0.7099529220779218
