Population,Treatment Name,mean_d13c,se_d13c
Sagwon,Wet,-26.773333333333333,0.5394235606439318
Sagwon,Dry,-26.830000000000002,0.07505553499465124
Sagwon,Deep,-26.883333333333333,0.6377651953849817
Toolik,Wet,-27.073333333333334,0.42116241258898857
Toolik,Dry,-26.36,0.532008771857508
Toolik,Deep,-26.92,0.20428737928059407
Coldfoot,Wet,-25.89666666666667,0.6679404497741127
Coldfoot,Dry,-26.053333333333335,0.2924228293261509
Coldfoot,Deep,-26.653333333333332,0.4583424241522682
