Measurement,Unique_Tussocks,Total_Measurements,Number_of_Dates,Dates
Water Potential,54,84,3,"7/31/17, 8/2/17, 8/9/18"
Amax,41,80,3,"7/26/17, 7/31/17, 8/9/17"
A/Ci Curves,19,24,2,"170802, 170803"
