contrast,Treatment Name,estimate,SE,df,t.ratio,p.value
Sagwon - Toolik,Wet,-12.002378003009616,35.83266975062361,45,-0.3349562867221395,0.9401116304035493
Sagwon - Coldfoot,Wet,76.26156328792906,35.83266975062363,45,2.1282690856882582,0.0954614025416588
Toolik - Coldfoot,Wet,88.26394129093867,35.832669750623594,45,2.4632253724104,0.04563115225908654
Sagwon - Toolik,Dry,27.96016572828053,35.83266975062357,45,0.7802981447619866,0.7169342946484654
Sagwon - Coldfoot,Dry,54.29869462769342,35.83266975062359,45,1.5153404701794086,0.29344173983603705
Toolik - Coldfoot,Dry,26.33852889941289,35.83266975062358,45,0.7350423254174225,0.7441014582493793
Sagwon - Toolik,Deep,-21.51723523203278,35.83266975062358,45,-0.6004921034849302,0.8205534439764157
Sagwon - Coldfoot,Deep,22.81991315320721,35.83266975062355,45,0.6368465791698399,0.8006707577992012
Toolik - Coldfoot,Deep,44.337148385239985,35.83266975062358,45,1.2373386826547694,0.437777943183433
